"P-C","Pantone Yellow 012 C","#ffd700"
"P-C","Pantone Yellow C","#ffdd00"
"P-C","Pantone 100 C","#f7ea5f"
"P-C","Pantone 101 C","#f8e946"
"P-C","Pantone 102 C","#fde300"
"P-C","Pantone 103 C","#c6a900"
"P-C","Pantone 104 C","#b19700"
"P-C","Pantone 105 C","#8b7a27"
"P-C","Pantone 106 C","#fbe343"
"P-C","Pantone 107 C","#fee01e"
"P-C","Pantone 109 C","#ffd100"
"P-C","Pantone 110 C","#dba900"
"P-C","Pantone 111 C","#ac8900"
"P-C","Pantone 112 C","#9d830f"
"P-C","Pantone 113 C","#fddf50"
"P-C","Pantone 114 C","#fedd3c"
"P-C","Pantone 115 C","#ffd923"
"P-C","Pantone 116 C","#ffcd00"
"P-C","Pantone 117 C","#cc9700"
"P-C","Pantone 118 C","#ae8400"
"P-C","Pantone 119 C","#8a731f"
"P-C","Pantone 120 C","#feda63"
"P-C","Pantone 1205 C","#f9df8d"
"P-C","Pantone 121 C","#ffd755"
"P-C","Pantone 1215 C","#fed671"
"P-C","Pantone 122 C","#ffd03e"
"P-C","Pantone 1225 C","#ffc842"
"P-C","Pantone 123 C","#ffc627"
"P-C","Pantone 1235 C","#ffb718"
"P-C","Pantone 124 C","#eda900"
"P-C","Pantone 1245 C","#c9910d"
"P-C","Pantone 125 C","#b78400"
"P-C","Pantone 1255 C","#af841d"
"P-C","Pantone 126 C","#9d760c"
"P-C","Pantone 1265 C","#8a6b24"
"P-C","Pantone 127 C","#f5db6b"
"P-C","Pantone 128 C","#f7d44b"
"P-C","Pantone 129 C","#f6ce3c"
"P-C","Pantone 130 C","#f7a700"
"P-C","Pantone 131 C","#d08900"
"P-C","Pantone 132 C","#a37300"
"P-C","Pantone 133 C","#6e561b"
"P-C","Pantone 134 C","#ffd16c"
"P-C","Pantone 1345 C","#fecf84"
"P-C","Pantone 135 C","#ffc556"
"P-C","Pantone 1355 C","#ffc56c"
"P-C","Pantone 136 C","#ffbf3b"
"P-C","Pantone 1365 C","#ffb546"
"P-C","Pantone 137 C","#ffa300"
"P-C","Pantone 1375 C","#ff9e15"
"P-C","Pantone 138 C","#e17c00"
"P-C","Pantone 1385 C","#d87800"
"P-C","Pantone 139 C","#b26d00"
"P-C","Pantone 1395 C","#9c5f15"
"P-C","Pantone 140 C","#755319"
"P-C","Pantone 1405 C","#704b1c"
"P-C","Pantone 141 C","#f6c55b"
"P-C","Pantone 142 C","#f5bd47"
"P-C","Pantone 143 C","#f6b333"
"P-C","Pantone 144 C","#f38a00"
"P-C","Pantone 145 C","#d57e00"
"P-C","Pantone 146 C","#ab6b0e"
"P-C","Pantone 147 C","#735b28"
"P-C","Pantone 148 C","#ffcb8a"
"P-C","Pantone 1485 C","#ffad5e"
"P-C","Pantone 149 C","#ffc27a"
"P-C","Pantone 1495 C","#ff8f12"
"P-C","Pantone 150 C","#ffb258"
"P-C","Pantone 1505 C","#ff6a00"
"P-C","Pantone 151 C","#ff8300"
"P-C","Pantone 152 C","#e97200"
"P-C","Pantone 1525 C","#bd4600"
"P-C","Pantone 153 C","#c16a10"
"P-C","Pantone 1535 C","#974508"
"P-C","Pantone 154 C","#9e5916"
"P-C","Pantone 1545 C","#683816"
"P-C","Pantone 155 C","#f3d09e"
"P-C","Pantone 1555 C","#ffb98d"
"P-C","Pantone 156 C","#f2bc7b"
"P-C","Pantone 1565 C","#ffa167"
"P-C","Pantone 157 C","#f19f53"
"P-C","Pantone 1575 C","#ff7e2e"
"P-C","Pantone 158 C","#ef7521"
"P-C","Pantone 1585 C","#ff6b0b"
"P-C","Pantone 159 C","#d25d12"
"P-C","Pantone 1595 C","#dc5f13"
"P-C","Pantone 160 C","#a5541a"
"P-C","Pantone 1605 C","#a95521"
"P-C","Pantone 161 C","#633c20"
"P-C","Pantone 1615 C","#8e471e"
"P-C","Pantone 162 C","#ffbe9e"
"P-C","Pantone 1625 C","#ffa388"
"P-C","Pantone 163 C","#ff9d6b"
"P-C","Pantone 1635 C","#ff8d6a"
"P-C","Pantone 164 C","#ff7f3f"
"P-C","Pantone 1645 C","#ff6b35"
"P-C","Pantone 165 C","#ff661b"
"P-C","Pantone 1655 C","#ff4c00"
"P-C","Pantone 166 C","#e75200"
"P-C","Pantone 1665 C","#e24301"
"P-C","Pantone 167 C","#c25219"
"P-C","Pantone 1675 C","#ad431c"
"P-C","Pantone 168 C","#75381b"
"P-C","Pantone 1685 C","#86391f"
"P-C","Pantone 169 C","#ffb4aa"
"P-C","Pantone 170 C","#ff8671"
"P-C","Pantone 171 C","#ff5b34"
"P-C","Pantone 172 C","#ff4611"
"P-C","Pantone 173 C","#d3441c"
"P-C","Pantone 174 C","#99381f"
"P-C","Pantone 175 C","#6d3527"
"P-C","Pantone 176 C","#ffb1b8"
"P-C","Pantone 1765 C","#ffa4b3"
"P-C","Pantone 1767 C","#ffafbf"
"P-C","Pantone 177 C","#ff8188"
"P-C","Pantone 1775 C","#ff8e9e"
"P-C","Pantone 1777 C","#ff637d"
"P-C","Pantone 178 C","#ff5859"
"P-C","Pantone 1785 C","#ff485b"
"P-C","Pantone 1787 C","#fb3448"
"P-C","Pantone 1788 C","#f42434"
"P-C","Pantone 179 C","#e53c2e"
"P-C","Pantone 1795 C","#d8262e"
"P-C","Pantone 1797 C","#d03238"
"P-C","Pantone 180 C","#c33a32"
"P-C","Pantone 1805 C","#b3272d"
"P-C","Pantone 1807 C","#a83338"
"P-C","Pantone 181 C","#84322c"
"P-C","Pantone 1815 C","#802528"
"P-C","Pantone 1817 C","#663233"
"P-C","Pantone 182 C","#febbca"
"P-C","Pantone 183 C","#ff9bb1"
"P-C","Pantone 184 C","#fc5272"
"P-C","Pantone 185 C","#eb0028"
"P-C","Pantone 186 C","#cf0a2c"
"P-C","Pantone 187 C","#ab162b"
"P-C","Pantone 188 C","#79232e"
"P-C","Pantone 189 C","#fda3ba"
"P-C","Pantone 1895 C","#f8b5cc"
"P-C","Pantone 190 C","#fb7497"
"P-C","Pantone 1905 C","#fa9aba"
"P-C","Pantone 191 C","#f5416c"
"P-C","Pantone 1915 C","#f54b7f"
"P-C","Pantone 192 C","#ec0044"
"P-C","Pantone 1925 C","#e9004b"
"P-C","Pantone 193 C","#c5093b"
"P-C","Pantone 1935 C","#cb003c"
"P-C","Pantone 194 C","#a02741"
"P-C","Pantone 1945 C","#ac063c"
"P-C","Pantone 195 C","#7b2f3e"
"P-C","Pantone 1955 C","#8f1336"
"P-C","Pantone 196 C","#efc6cd"
"P-C","Pantone 197 C","#ee9aac"
"P-C","Pantone 198 C","#e74260"
"P-C","Pantone 199 C","#dc0031"
"P-C","Pantone 200 C","#c2002f"
"P-C","Pantone 2001 C","#f7e49a"
"P-C","Pantone 2002 C","#f9e17d"
"P-C","Pantone 2003 C","#fae167"
"P-C","Pantone 2004 C","#fbdc7a"
"P-C","Pantone 2005 C","#fed781"
"P-C","Pantone 2006 C","#ecbc4d"
"P-C","Pantone 2007 C","#e1a423"
"P-C","Pantone 2008 C","#f2be70"
"P-C","Pantone 2009 C","#f2b562"
"P-C","Pantone 201 C","#a31f34"
"P-C","Pantone 2010 C","#ffad00"
"P-C","Pantone 2011 C","#f19933"
"P-C","Pantone 2012 C","#f39500"
"P-C","Pantone 2013 C","#ff9800"
"P-C","Pantone 2014 C","#bb7000"
"P-C","Pantone 2015 C","#f8cea6"
"P-C","Pantone 2016 C","#ffb771"
"P-C","Pantone 2017 C","#f8ad6a"
"P-C","Pantone 2018 C","#ff7600"
"P-C","Pantone 2019 C","#da6c00"
"P-C","Pantone 202 C","#8b2331"
"P-C","Pantone 2020 C","#c05400"
"P-C","Pantone 2021 C","#9f4812"
"P-C","Pantone 2022 C","#feaa8c"
"P-C","Pantone 2023 C","#fd936e"
"P-C","Pantone 2024 C","#fd7b55"
"P-C","Pantone 2025 C","#ff8a39"
"P-C","Pantone 2026 C","#fa6238"
"P-C","Pantone 2027 C","#f3523e"
"P-C","Pantone 2028 C","#f13000"
"P-C","Pantone 2029 C","#f7817d"
"P-C","Pantone 203 C","#f0b2c9"
"P-C","Pantone 2030 C","#e17973"
"P-C","Pantone 2031 C","#da6764"
"P-C","Pantone 2032 C","#d45856"
"P-C","Pantone 2033 C","#ca4543"
"P-C","Pantone 2034 C","#ec3a3d"
"P-C","Pantone 2035 C","#dc001b"
"P-C","Pantone 2036 C","#f8bdd5"
"P-C","Pantone 2037 C","#f695c5"
"P-C","Pantone 2038 C","#f460a1"
"P-C","Pantone 2039 C","#ea3986"
"P-C","Pantone 204 C","#ec80a8"
"P-C","Pantone 2040 C","#e1075a"
"P-C","Pantone 2041 C","#a3234c"
"P-C","Pantone 2042 C","#72273b"
"P-C","Pantone 2043 C","#e9c3d1"
"P-C","Pantone 2044 C","#e993b5"
"P-C","Pantone 2045 C","#e0739e"
"P-C","Pantone 2046 C","#d25788"
"P-C","Pantone 2047 C","#a7466e"
"P-C","Pantone 2048 C","#983a5f"
"P-C","Pantone 2049 C","#862d4a"
"P-C","Pantone 205 C","#e7417a"
"P-C","Pantone 2050 C","#efd6e4"
"P-C","Pantone 2051 C","#ddc0cf"
"P-C","Pantone 2052 C","#cb9fb6"
"P-C","Pantone 2053 C","#b67e9d"
"P-C","Pantone 2054 C","#a06f8c"
"P-C","Pantone 2055 C","#925d7b"
"P-C","Pantone 2056 C","#814766"
"P-C","Pantone 2057 C","#d291b7"
"P-C","Pantone 2058 C","#bb85a9"
"P-C","Pantone 2059 C","#ba7aa0"
"P-C","Pantone 206 C","#d60036"
"P-C","Pantone 2060 C","#cb6aa6"
"P-C","Pantone 2061 C","#b15188"
"P-C","Pantone 2062 C","#b7448c"
"P-C","Pantone 2063 C","#a9307b"
"P-C","Pantone 2064 C","#e1a0d2"
"P-C","Pantone 2065 C","#dfa7dc"
"P-C","Pantone 2066 C","#d38dd2"
"P-C","Pantone 2067 C","#c269c1"
"P-C","Pantone 2068 C","#b44fb3"
"P-C","Pantone 2069 C","#a738a6"
"P-C","Pantone 207 C","#ab0032"
"P-C","Pantone 2070 C","#911d92"
"P-C","Pantone 2071 C","#c7b1dd"
"P-C","Pantone 2072 C","#b896d3"
"P-C","Pantone 2073 C","#b094d2"
"P-C","Pantone 2074 C","#9669bd"
"P-C","Pantone 2075 C","#8765bb"
"P-C","Pantone 2076 C","#8558b3"
"P-C","Pantone 2077 C","#6e3fa0"
"P-C","Pantone 2078 C","#b59dbc"
"P-C","Pantone 2079 C","#9c7da2"
"P-C","Pantone 208 C","#8b1c40"
"P-C","Pantone 2080 C","#9872ab"
"P-C","Pantone 2081 C","#875d9c"
"P-C","Pantone 2082 C","#7a4d90"
"P-C","Pantone 2083 C","#965dc7"
"P-C","Pantone 2084 C","#8037b1"
"P-C","Pantone 2085 C","#dfcce6"
"P-C","Pantone 2086 C","#a08acb"
"P-C","Pantone 2087 C","#9d7cd3"
"P-C","Pantone 2088 C","#835cc7"
"P-C","Pantone 2089 C","#7148bc"
"P-C","Pantone 209 C","#73243c"
"P-C","Pantone 2090 C","#653ab6"
"P-C","Pantone 2091 C","#4b16a0"
"P-C","Pantone 2092 C","#b9aad4"
"P-C","Pantone 2093 C","#a597c1"
"P-C","Pantone 2094 C","#8e7eac"
"P-C","Pantone 2095 C","#7965b2"
"P-C","Pantone 2096 C","#664da1"
"P-C","Pantone 2097 C","#6045b9"
"P-C","Pantone 2098 C","#4527a9"
"P-C","Pantone 2099 C","#b1a2ca"
"P-C","Pantone 210 C","#fd9fc8"
"P-C","Pantone 2100 C","#9e8ec9"
"P-C","Pantone 2101 C","#8974d1"
"P-C","Pantone 2102 C","#6457b0"
"P-C","Pantone 2103 C","#5848a5"
"P-C","Pantone 2104 C","#483697"
"P-C","Pantone 2105 C","#36217b"
"P-C","Pantone 2106 C","#b0b4cd"
"P-C","Pantone 2107 C","#8f98b9"
"P-C","Pantone 2108 C","#777ea9"
"P-C","Pantone 2109 C","#696b99"
"P-C","Pantone 211 C","#fb7eb4"
"P-C","Pantone 2110 C","#5a5f8f"
"P-C","Pantone 2111 C","#444c7e"
"P-C","Pantone 2112 C","#322164"
"P-C","Pantone 2113 C","#a4afe3"
"P-C","Pantone 2114 C","#838cc9"
"P-C","Pantone 2115 C","#6e78bd"
"P-C","Pantone 2116 C","#5e66b1"
"P-C","Pantone 2117 C","#44489b"
"P-C","Pantone 2118 C","#323578"
"P-C","Pantone 2119 C","#2a2d64"
"P-C","Pantone 212 C","#f55096"
"P-C","Pantone 2120 C","#bdcaea"
"P-C","Pantone 2121 C","#8cabd8"
"P-C","Pantone 2122 C","#9aade3"
"P-C","Pantone 2123 C","#7892dd"
"P-C","Pantone 2124 C","#6e7bd3"
"P-C","Pantone 2125 C","#4f62c8"
"P-C","Pantone 2126 C","#273bb2"
"P-C","Pantone 2127 C","#b6c8e1"
"P-C","Pantone 2128 C","#95b4e4"
"P-C","Pantone 2129 C","#5a8cda"
"P-C","Pantone 213 C","#ea1d75"
"P-C","Pantone 2130 C","#5075d0"
"P-C","Pantone 2131 C","#2e5bbe"
"P-C","Pantone 2132 C","#0056c1"
"P-C","Pantone 2133 C","#1356a4"
"P-C","Pantone 2134 C","#90a4cf"
"P-C","Pantone 2135 C","#738bbf"
"P-C","Pantone 2136 C","#8293b8"
"P-C","Pantone 2137 C","#6c7eaa"
"P-C","Pantone 2138 C","#627592"
"P-C","Pantone 2139 C","#4c6896"
"P-C","Pantone 214 C","#d50f67"
"P-C","Pantone 2140 C","#375182"
"P-C","Pantone 2141 C","#88bde8"
"P-C","Pantone 2142 C","#7bace3"
"P-C","Pantone 2143 C","#3485cc"
"P-C","Pantone 2144 C","#0065ba"
"P-C","Pantone 2145 C","#004ca7"
"P-C","Pantone 2146 C","#00348e"
"P-C","Pantone 2147 C","#002576"
"P-C","Pantone 2148 C","#5e8fb3"
"P-C","Pantone 2149 C","#4b80a7"
"P-C","Pantone 215 C","#af1556"
"P-C","Pantone 2150 C","#32739d"
"P-C","Pantone 2151 C","#2169a2"
"P-C","Pantone 2152 C","#156390"
"P-C","Pantone 2153 C","#00537d"
"P-C","Pantone 2154 C","#00447f"
"P-C","Pantone 2155 C","#9cb4cb"
"P-C","Pantone 2156 C","#8aa4c0"
"P-C","Pantone 2157 C","#7192b4"
"P-C","Pantone 2158 C","#5881a6"
"P-C","Pantone 2159 C","#4b759b"
"P-C","Pantone 216 C","#802145"
"P-C","Pantone 2160 C","#3d6891"
"P-C","Pantone 2161 C","#245681"
"P-C","Pantone 2162 C","#9da4b3"
"P-C","Pantone 2163 C","#849aaf"
"P-C","Pantone 2164 C","#7c92a7"
"P-C","Pantone 2165 C","#667f98"
"P-C","Pantone 2166 C","#54718a"
"P-C","Pantone 2167 C","#4d6b86"
"P-C","Pantone 2168 C","#22495c"
"P-C","Pantone 2169 C","#7faed2"
"P-C","Pantone 217 C","#eebdda"
"P-C","Pantone 2170 C","#5a9ac6"
"P-C","Pantone 2171 C","#3f9edf"
"P-C","Pantone 2172 C","#0079d0"
"P-C","Pantone 2173 C","#0083d6"
"P-C","Pantone 2174 C","#0075cf"
"P-C","Pantone 2175 C","#0068c7"
"P-C","Pantone 2176 C","#a4b7bf"
"P-C","Pantone 2177 C","#7d9eab"
"P-C","Pantone 2178 C","#688d9c"
"P-C","Pantone 2179 C","#4f7888"
"P-C","Pantone 218 C","#eb6baf"
"P-C","Pantone 2180 C","#3c6b7e"
"P-C","Pantone 2181 C","#29596b"
"P-C","Pantone 2182 C","#12485b"
"P-C","Pantone 2183 C","#0090bd"
"P-C","Pantone 2184 C","#0082d4"
"P-C","Pantone 2185 C","#0074a6"
"P-C","Pantone 2186 C","#004787"
"P-C","Pantone 2187 C","#004477"
"P-C","Pantone 2188 C","#00406a"
"P-C","Pantone 2189 C","#003248"
"P-C","Pantone 219 C","#e11282"
"P-C","Pantone 2190 C","#4fb5e5"
"P-C","Pantone 2191 C","#00a1e1"
"P-C","Pantone 2192 C","#008edb"
"P-C","Pantone 2193 C","#008fdb"
"P-C","Pantone 2194 C","#0083d5"
"P-C","Pantone 2195 C","#0074ce"
"P-C","Pantone 2196 C","#0067b1"
"P-C","Pantone 2197 C","#6ed0e7"
"P-C","Pantone 2198 C","#3ec7e4"
"P-C","Pantone 2199 C","#00b8dd"
"P-C","Pantone 220 C","#ab004e"
"P-C","Pantone 2200 C","#00a6c6"
"P-C","Pantone 2201 C","#00abd8"
"P-C","Pantone 2202 C","#00a2e0"
"P-C","Pantone 2203 C","#0085ae"
"P-C","Pantone 2204 C","#adcbd7"
"P-C","Pantone 2205 C","#88b1c4"
"P-C","Pantone 2206 C","#769db4"
"P-C","Pantone 2207 C","#6198b2"
"P-C","Pantone 2208 C","#5287a3"
"P-C","Pantone 2209 C","#4684a0"
"P-C","Pantone 221 C","#970047"
"P-C","Pantone 2210 C","#084d71"
"P-C","Pantone 2211 C","#6f98a3"
"P-C","Pantone 2212 C","#4e8391"
"P-C","Pantone 2213 C","#2d6f78"
"P-C","Pantone 2214 C","#2e6c79"
"P-C","Pantone 2215 C","#2c5466"
"P-C","Pantone 2216 C","#2b4b58"
"P-C","Pantone 2217 C","#003841"
"P-C","Pantone 2218 C","#6eaebd"
"P-C","Pantone 2219 C","#57a2b3"
"P-C","Pantone 222 C","#701c45"
"P-C","Pantone 2220 C","#4195a9"
"P-C","Pantone 2221 C","#278a9f"
"P-C","Pantone 2222 C","#0a8098"
"P-C","Pantone 2223 C","#00758e"
"P-C","Pantone 2224 C","#006681"
"P-C","Pantone 2225 C","#70d3e1"
"P-C","Pantone 2226 C","#2ec9da"
"P-C","Pantone 2227 C","#52bcc9"
"P-C","Pantone 2228 C","#00a2be"
"P-C","Pantone 2229 C","#0099b8"
"P-C","Pantone 223 C","#f294cd"
"P-C","Pantone 2230 C","#0089a1"
"P-C","Pantone 2231 C","#007993"
"P-C","Pantone 2232 C","#6daeb3"
"P-C","Pantone 2233 C","#54a5b0"
"P-C","Pantone 2234 C","#499da5"
"P-C","Pantone 2235 C","#1c919d"
"P-C","Pantone 2236 C","#1e909a"
"P-C","Pantone 2238 C","#006776"
"P-C","Pantone 2239 C","#00ccb7"
"P-C","Pantone 224 C","#ef6eba"
"P-C","Pantone 2240 C","#00bea1"
"P-C","Pantone 2241 C","#53a092"
"P-C","Pantone 2242 C","#00a077"
"P-C","Pantone 2243 C","#00927b"
"P-C","Pantone 2244 C","#087e6d"
"P-C","Pantone 2245 C","#008356"
"P-C","Pantone 2246 C","#a7d2b9"
"P-C","Pantone 2247 C","#74bf99"
"P-C","Pantone 2248 C","#6cb691"
"P-C","Pantone 2249 C","#53a97f"
"P-C","Pantone 225 C","#e51992"
"P-C","Pantone 2250 C","#00b073"
"P-C","Pantone 2251 C","#00aa71"
"P-C","Pantone 2252 C","#00a54d"
"P-C","Pantone 2253 C","#bae8ca"
"P-C","Pantone 2254 C","#acddb2"
"P-C","Pantone 2255 C","#85d095"
"P-C","Pantone 2256 C","#53c072"
"P-C","Pantone 2257 C","#00ab51"
"P-C","Pantone 2258 C","#008424"
"P-C","Pantone 2259 C","#007022"
"P-C","Pantone 226 C","#d7006d"
"P-C","Pantone 2260 C","#b2cfad"
"P-C","Pantone 2261 C","#96ba91"
"P-C","Pantone 2262 C","#88ac89"
"P-C","Pantone 2263 C","#6f946b"
"P-C","Pantone 2264 C","#669460"
"P-C","Pantone 2265 C","#587d50"
"P-C","Pantone 2266 C","#2d5423"
"P-C","Pantone 2267 C","#96de99"
"P-C","Pantone 2268 C","#72d77d"
"P-C","Pantone 2269 C","#78ca6d"
"P-C","Pantone 227 C","#b00060"
"P-C","Pantone 2270 C","#17c54e"
"P-C","Pantone 2271 C","#00b832"
"P-C","Pantone 2272 C","#00981a"
"P-C","Pantone 2273 C","#227026"
"P-C","Pantone 2274 C","#d0d9b1"
"P-C","Pantone 2275 C","#c3da95"
"P-C","Pantone 2276 C","#88a650"
"P-C","Pantone 2277 C","#52941d"
"P-C","Pantone 2278 C","#4b7f1e"
"P-C","Pantone 2279 C","#5c7d2a"
"P-C","Pantone 228 C","#8d0b56"
"P-C","Pantone 2280 C","#47691d"
"P-C","Pantone 2281 C","#d8e798"
"P-C","Pantone 2282 C","#c6e895"
"P-C","Pantone 2283 C","#a3df65"
"P-C","Pantone 2284 C","#b0d37d"
"P-C","Pantone 2285 C","#8fd84a"
"P-C","Pantone 2286 C","#74ca00"
"P-C","Pantone 2287 C","#54c400"
"P-C","Pantone 2288 C","#c8e179"
"P-C","Pantone 2289 C","#c5d779"
"P-C","Pantone 229 C","#692044"
"P-C","Pantone 2290 C","#a7d91d"
"P-C","Pantone 2291 C","#a4d300"
"P-C","Pantone 2292 C","#91c712"
"P-C","Pantone 2293 C","#86c300"
"P-C","Pantone 2294 C","#74a800"
"P-C","Pantone 2295 C","#e1ea89"
"P-C","Pantone 2296 C","#d5e664"
"P-C","Pantone 2297 C","#bcde16"
"P-C","Pantone 2298 C","#b6d955"
"P-C","Pantone 2299 C","#a2d033"
"P-C","Pantone 230 C","#f7a6d6"
"P-C","Pantone 2300 C","#a8c140"
"P-C","Pantone 2301 C","#8dac14"
"P-C","Pantone 2302 C","#aeb762"
"P-C","Pantone 2303 C","#9fb156"
"P-C","Pantone 2304 C","#a0aa4d"
"P-C","Pantone 2305 C","#9da600"
"P-C","Pantone 2306 C","#7e8a24"
"P-C","Pantone 2307 C","#676e11"
"P-C","Pantone 2308 C","#59561a"
"P-C","Pantone 2309 C","#e7cdb5"
"P-C","Pantone 231 C","#f677c4"
"P-C","Pantone 2310 C","#d8bfa7"
"P-C","Pantone 2311 C","#cca784"
"P-C","Pantone 2312 C","#b79a80"
"P-C","Pantone 2313 C","#c39365"
"P-C","Pantone 2314 C","#ac7743"
"P-C","Pantone 2315 C","#93480d"
"P-C","Pantone 2316 C","#bd9979"
"P-C","Pantone 2317 C","#b4865c"
"P-C","Pantone 2318 C","#a47447"
"P-C","Pantone 2319 C","#8d5b2f"
"P-C","Pantone 232 C","#ef3fa9"
"P-C","Pantone 2320 C","#714621"
"P-C","Pantone 2321 C","#6f5036"
"P-C","Pantone 2322 C","#4d3423"
"P-C","Pantone 2323 C","#b7b098"
"P-C","Pantone 2324 C","#b2a282"
"P-C","Pantone 2325 C","#9f9073"
"P-C","Pantone 2326 C","#8b7c5e"
"P-C","Pantone 2327 C","#837857"
"P-C","Pantone 2328 C","#786747"
"P-C","Pantone 2329 C","#69583b"
"P-C","Pantone 233 C","#cc007a"
"P-C","Pantone 2330 C","#cfccc8"
"P-C","Pantone 2331 C","#aca7a3"
"P-C","Pantone 2332 C","#8b8985"
"P-C","Pantone 2333 C","#716c69"
"P-C","Pantone 2334 C","#6d6361"
"P-C","Pantone 2335 C","#5e4e46"
"P-C","Pantone 2336 C","#4e4946"
"P-C","Pantone 2337 C","#fac0b8"
"P-C","Pantone 2338 C","#e0a39d"
"P-C","Pantone 2339 C","#f29390"
"P-C","Pantone 234 C","#a60063"
"P-C","Pantone 2340 C","#d26e76"
"P-C","Pantone 2341 C","#b96b6c"
"P-C","Pantone 2342 C","#ba5963"
"P-C","Pantone 2343 C","#aa5564"
"P-C","Pantone 2344 C","#f3806e"
"P-C","Pantone 2345 C","#ff6e67"
"P-C","Pantone 2346 C","#ff5967"
"P-C","Pantone 2347 C","#e80000"
"P-C","Pantone 2348 C","#ea534d"
"P-C","Pantone 2349 C","#ce3402"
"P-C","Pantone 235 C","#880d53"
"P-C","Pantone 2350 C","#b5201b"
"P-C","Pantone 2351 C","#bf79b2"
"P-C","Pantone 2352 C","#b764a6"
"P-C","Pantone 2353 C","#c44ca5"
"P-C","Pantone 2354 C","#944d8a"
"P-C","Pantone 2355 C","#8b0079"
"P-C","Pantone 2356 C","#750060"
"P-C","Pantone 2357 C","#641143"
"P-C","Pantone 2358 C","#ada3ae"
"P-C","Pantone 2359 C","#7e7283"
"P-C","Pantone 236 C","#f4a7dc"
"P-C","Pantone 2360 C","#7a788e"
"P-C","Pantone 2361 C","#6f6f8b"
"P-C","Pantone 2362 C","#6d6980"
"P-C","Pantone 2363 C","#5f5c75"
"P-C","Pantone 2364 C","#67586d"
"P-C","Pantone 2365 C","#f2b9df"
"P-C","Pantone 2366 C","#676ccd"
"P-C","Pantone 2367 C","#4d4bb0"
"P-C","Pantone 2368 C","#4a49bc"
"P-C","Pantone 2369 C","#3640b5"
"P-C","Pantone 237 C","#f185ce"
"P-C","Pantone 2370 C","#2b2b93"
"P-C","Pantone 2371 C","#300b8c"
"P-C","Pantone 2372 C","#251e77"
"P-C","Pantone 2373 C","#7181a0"
"P-C","Pantone 2374 C","#4d5e80"
"P-C","Pantone 2375 C","#e677cb"
"P-C","Pantone 2376 C","#4d5a72"
"P-C","Pantone 2377 C","#305271"
"P-C","Pantone 2378 C","#374767"
"P-C","Pantone 2379 C","#3b4358"
"P-C","Pantone 238 C","#ea5dbd"
"P-C","Pantone 2380 C","#273248"
"P-C","Pantone 2381 C","#5992db"
